,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
49,Indonesia,Cassava,1998,121925,2702.0,1597.0,27.58
50,Indonesia,Cassava,1998,121925,2702.0,1597.0,27.72
51,Indonesia,Cassava,1998,121925,2702.0,1597.0,27.77
52,Indonesia,Cassava,1998,121925,2702.0,1597.0,27.28
53,Indonesia,Cassava,1998,121925,2702.0,1597.0,27.9
54,Indonesia,Cassava,1999,121763,2702.0,1597.0,25.26
55,Indonesia,Cassava,1999,121763,2702.0,1597.0,27.01
56,Indonesia,Cassava,1999,121763,2702.0,1597.0,26.82
57,Indonesia,Cassava,1999,121763,2702.0,1597.0,27.17
58,Indonesia,Cassava,1999,121763,2702.0,1597.0,26.62
59,Indonesia,Cassava,1999,121763,2702.0,1597.0,27.32
60,Indonesia,Cassava,2000,125305,2702.0,1597.0,25.46
61,Indonesia,Cassava,2000,125305,2702.0,1597.0,27.2
62,Indonesia,Cassava,2000,125305,2702.0,1597.0,27.1
63,Indonesia,Cassava,2000,125305,2702.0,1597.0,27.23
64,Indonesia,Cassava,2000,125305,2702.0,1597.0,26.77
65,Indonesia,Cassava,2000,125305,2702.0,1597.0,27.44
66,Indonesia,Cassava,2001,129407,2702.0,1597.0,25.43
67,Indonesia,Cassava,2001,129407,2702.0,1597.0,27.13
68,Indonesia,Cassava,2001,129407,2702.0,1597.0,27.26
69,Indonesia,Cassava,2001,129407,2702.0,1597.0,27.32
70,Indonesia,Cassava,2001,129407,2702.0,1597.0,26.81
71,Indonesia,Cassava,2001,129407,2702.0,1597.0,27.52
72,Indonesia,Cassava,2002,132491,2702.0,1597.0,25.64
73,Indonesia,Cassava,2002,132491,2702.0,1597.0,27.4
74,Indonesia,Cassava,2002,132491,2702.0,1597.0,27.5
75,Indonesia,Cassava,2002,132491,2702.0,1597.0,27.49
76,Indonesia,Cassava,2002,132491,2702.0,1597.0,27.01
77,Indonesia,Cassava,2002,132491,2702.0,1597.0,27.71
78,Indonesia,Cassava,2004,154679,2702.0,1597.0,25.67
79,Indonesia,Cassava,2004,154679,2702.0,1597.0,27.42
80,Indonesia,Cassava,2004,154679,2702.0,1597.0,27.32
81,Indonesia,Cassava,2004,154679,2702.0,1597.0,27.57
82,Indonesia,Cassava,2004,154679,2702.0,1597.0,26.97
83,Indonesia,Cassava,2004,154679,2702.0,1597.0,27.69
84,Indonesia,Cassava,2005,159224,2702.0,1597.0,25.59
85,Indonesia,Cassava,2005,159224,2702.0,1597.0,27.22
86,Indonesia,Cassava,2005,159224,2702.0,1597.0,27.48
87,Indonesia,Cassava,2005,159224,2702.0,1597.0,27.44
88,Indonesia,Cassava,2005,159224,2702.0,1597.0,27.11
89,Indonesia,Cassava,2005,159224,2702.0,1597.0,27.77
90,Indonesia,Cassava,2006,162829,2702.0,1597.0,25.66
91,Indonesia,Cassava,2006,162829,2702.0,1597.0,27.39
92,Indonesia,Cassava,2006,162829,2702.0,1597.0,27.21
93,Indonesia,Cassava,2006,162829,2702.0,1597.0,27.55
94,Indonesia,Cassava,2006,162829,2702.0,1597.0,26.98
95,Indonesia,Cassava,2006,162829,2702.0,1597.0,27.55
96,Indonesia,Cassava,2007,166362,2702.0,1597.0,25.5
97,Indonesia,Cassava,2007,166362,2702.0,1597.0,27.21
98,Indonesia,Cassava,2007,166362,2702.0,1597.0,27.14
99,Indonesia,Cassava,2007,166362,2702.0,1597.0,27.29
100,Indonesia,Cassava,2007,166362,2702.0,1597.0,26.88
101,Indonesia,Cassava,2007,166362,2702.0,1597.0,27.49
102,Indonesia,Cassava,2008,180950,2702.0,1597.0,25.32
103,Indonesia,Cassava,2008,180950,2702.0,1597.0,26.97
104,Indonesia,Cassava,2008,180950,2702.0,1597.0,27.03
105,Indonesia,Cassava,2008,180950,2702.0,1597.0,27.18
106,Indonesia,Cassava,2008,180950,2702.0,1597.0,26.65
107,Indonesia,Cassava,2008,180950,2702.0,1597.0,27.34
108,Indonesia,Cassava,2009,187461,2702.0,1597.0,25.54
109,Indonesia,Cassava,2009,187461,2702.0,1597.0,27.31
110,Indonesia,Cassava,2009,187461,2702.0,1597.0,27.3
111,Indonesia,Cassava,2009,187461,2702.0,1597.0,27.63
112,Indonesia,Cassava,2009,187461,2702.0,1597.0,26.98
113,Indonesia,Cassava,2009,187461,2702.0,1597.0,27.69
114,Indonesia,Cassava,2010,202174,2702.0,1597.0,25.57
115,Indonesia,Cassava,2010,202174,2702.0,1597.0,27.25
116,Indonesia,Cassava,2010,202174,2702.0,1597.0,27.69
117,Indonesia,Cassava,2010,202174,2702.0,1597.0,27.46
118,Indonesia,Cassava,2010,202174,2702.0,1597.0,26.94
119,Indonesia,Cassava,2010,202174,2702.0,1597.0,27.55
120,Indonesia,Cassava,2011,202955,2702.0,1597.0,25.38
121,Indonesia,Cassava,2011,202955,2702.0,1597.0,27.24
122,Indonesia,Cassava,2011,202955,2702.0,1597.0,27.19
123,Indonesia,Cassava,2011,202955,2702.0,1597.0,27.39
124,Indonesia,Cassava,2011,202955,2702.0,1597.0,26.63
125,Indonesia,Cassava,2011,202955,2702.0,1597.0,27.19
126,Indonesia,Cassava,2012,214018,2702.0,1597.0,25.59
127,Indonesia,Cassava,2012,214018,2702.0,1597.0,27.36
128,Indonesia,Cassava,2012,214018,2702.0,1597.0,27.37
129,Indonesia,Cassava,2012,214018,2702.0,1597.0,27.49
130,Indonesia,Cassava,2012,214018,2702.0,1597.0,26.87
131,Indonesia,Cassava,2012,214018,2702.0,1597.0,27.48
132,Indonesia,Cassava,2013,224601,2702.0,1597.0,25.48
133,Indonesia,Cassava,2013,224601,2702.0,1597.0,27.37
134,Indonesia,Cassava,2013,224601,2702.0,1597.0,27.88
135,Indonesia,Cassava,2013,224601,2702.0,1597.0,27.34
136,Indonesia,Cassava,2013,224601,2702.0,1597.0,26.72
137,Indonesia,Cassava,2013,224601,2702.0,1597.0,27.3
138,Indonesia,Maize,1990,21323,2702.0,2432.0,25.37
139,Indonesia,Maize,1990,21323,2702.0,2432.0,27.05
140,Indonesia,Maize,1990,21323,2702.0,2432.0,27.11
141,Indonesia,Maize,1990,21323,2702.0,2432.0,27.18
142,Indonesia,Maize,1990,21323,2702.0,2432.0,26.79
143,Indonesia,Maize,1990,21323,2702.0,2432.0,27.47
144,Indonesia,Maize,1991,21505,2702.0,3259.0,25.27
145,Indonesia,Maize,1991,21505,2702.0,3259.0,27.04
146,Indonesia,Maize,1991,21505,2702.0,3259.0,26.92
147,Indonesia,Maize,1991,21505,2702.0,3259.0,27.05
148,Indonesia,Maize,1991,21505,2702.0,3259.0,26.61
149,Indonesia,Maize,1991,21505,2702.0,3259.0,27.21
150,Indonesia,Maize,1992,22030,2702.0,825.0,25.17
151,Indonesia,Maize,1992,22030,2702.0,825.0,26.96
152,Indonesia,Maize,1992,22030,2702.0,825.0,27.01
153,Indonesia,Maize,1992,22030,2702.0,825.0,27.2
154,Indonesia,Maize,1992,22030,2702.0,825.0,26.72
155,Indonesia,Maize,1992,22030,2702.0,825.0,27.4
156,Indonesia,Maize,1993,21975,2702.0,1597.0,25.46
157,Indonesia,Maize,1993,21975,2702.0,1597.0,27.04
158,Indonesia,Maize,1993,21975,2702.0,1597.0,26.9
159,Indonesia,Maize,1993,21975,2702.0,1597.0,27.21
160,Indonesia,Maize,1993,21975,2702.0,1597.0,26.88
161,Indonesia,Maize,1993,21975,2702.0,1597.0,27.51
162,Indonesia,Maize,1994,22091,2702.0,1597.0,25.21
163,Indonesia,Maize,1994,22091,2702.0,1597.0,27.12
164,Indonesia,Maize,1994,22091,2702.0,1597.0,26.97
165,Indonesia,Maize,1994,22091,2702.0,1597.0,27.34
166,Indonesia,Maize,1994,22091,2702.0,1597.0,26.56
167,Indonesia,Maize,1994,22091,2702.0,1597.0,27.18
168,Indonesia,Maize,1995,22580,2702.0,1597.0,25.46
169,Indonesia,Maize,1995,22580,2702.0,1597.0,27.15
170,Indonesia,Maize,1995,22580,2702.0,1597.0,27.08
171,Indonesia,Maize,1995,22580,2702.0,1597.0,27.28
172,Indonesia,Maize,1995,22580,2702.0,1597.0,26.74
173,Indonesia,Maize,1995,22580,2702.0,1597.0,27.32
174,Indonesia,Maize,1996,24862,2702.0,1597.0,25.41
175,Indonesia,Maize,1996,24862,2702.0,1597.0,27.07
176,Indonesia,Maize,1996,24862,2702.0,1597.0,27.0
177,Indonesia,Maize,1996,24862,2702.0,1597.0,27.2
178,Indonesia,Maize,1996,24862,2702.0,1597.0,26.83
179,Indonesia,Maize,1996,24862,2702.0,1597.0,27.53
180,Indonesia,Maize,1997,26141,2702.0,1597.0,25.52
181,Indonesia,Maize,1997,26141,2702.0,1597.0,27.37
182,Indonesia,Maize,1997,26141,2702.0,1597.0,27.26
183,Indonesia,Maize,1997,26141,2702.0,1597.0,27.62
184,Indonesia,Maize,1997,26141,2702.0,1597.0,26.83
185,Indonesia,Maize,1997,26141,2702.0,1597.0,27.46
186,Indonesia,Maize,1998,26526,2702.0,1597.0,25.81
187,Indonesia,Maize,1998,26526,2702.0,1597.0,27.58
188,Indonesia,Maize,1998,26526,2702.0,1597.0,27.72
189,Indonesia,Maize,1998,26526,2702.0,1597.0,27.77
190,Indonesia,Maize,1998,26526,2702.0,1597.0,27.28
191,Indonesia,Maize,1998,26526,2702.0,1597.0,27.9
192,Indonesia,Maize,1999,26629,2702.0,1597.0,25.26
193,Indonesia,Maize,1999,26629,2702.0,1597.0,27.01
194,Indonesia,Maize,1999,26629,2702.0,1597.0,26.82
195,Indonesia,Maize,1999,26629,2702.0,1597.0,27.17
196,Indonesia,Maize,1999,26629,2702.0,1597.0,26.62
197,Indonesia,Maize,1999,26629,2702.0,1597.0,27.32
198,Indonesia,Maize,2000,27649,2702.0,1597.0,25.46
199,Indonesia,Maize,2000,27649,2702.0,1597.0,27.2
200,Indonesia,Maize,2000,27649,2702.0,1597.0,27.1
201,Indonesia,Maize,2000,27649,2702.0,1597.0,27.23
202,Indonesia,Maize,2000,27649,2702.0,1597.0,26.77
203,Indonesia,Maize,2000,27649,2702.0,1597.0,27.44
204,Indonesia,Maize,2001,28446,2702.0,1597.0,25.43
205,Indonesia,Maize,2001,28446,2702.0,1597.0,27.13
206,Indonesia,Maize,2001,28446,2702.0,1597.0,27.26
207,Indonesia,Maize,2001,28446,2702.0,1597.0,27.32
208,Indonesia,Maize,2001,28446,2702.0,1597.0,26.81
209,Indonesia,Maize,2001,28446,2702.0,1597.0,27.52
210,Indonesia,Maize,2002,30655,2702.0,1597.0,25.64
211,Indonesia,Maize,2002,30655,2702.0,1597.0,27.4
212,Indonesia,Maize,2002,30655,2702.0,1597.0,27.5
213,Indonesia,Maize,2002,30655,2702.0,1597.0,27.49
214,Indonesia,Maize,2002,30655,2702.0,1597.0,27.01
215,Indonesia,Maize,2002,30655,2702.0,1597.0,27.71
216,Indonesia,Maize,2004,33439,2702.0,1597.0,25.67
217,Indonesia,Maize,2004,33439,2702.0,1597.0,27.42
218,Indonesia,Maize,2004,33439,2702.0,1597.0,27.32
219,Indonesia,Maize,2004,33439,2702.0,1597.0,27.57
220,Indonesia,Maize,2004,33439,2702.0,1597.0,26.97
221,Indonesia,Maize,2004,33439,2702.0,1597.0,27.69
222,Indonesia,Maize,2005,34539,2702.0,1597.0,25.59
223,Indonesia,Maize,2005,34539,2702.0,1597.0,27.22
224,Indonesia,Maize,2005,34539,2702.0,1597.0,27.48
225,Indonesia,Maize,2005,34539,2702.0,1597.0,27.44
226,Indonesia,Maize,2005,34539,2702.0,1597.0,27.11
227,Indonesia,Maize,2005,34539,2702.0,1597.0,27.77
228,Indonesia,Maize,2006,34699,2702.0,1597.0,25.66
229,Indonesia,Maize,2006,34699,2702.0,1597.0,27.39
230,Indonesia,Maize,2006,34699,2702.0,1597.0,27.21
231,Indonesia,Maize,2006,34699,2702.0,1597.0,27.55
232,Indonesia,Maize,2006,34699,2702.0,1597.0,26.98
233,Indonesia,Maize,2006,34699,2702.0,1597.0,27.55
234,Indonesia,Maize,2007,36601,2702.0,1597.0,25.5
235,Indonesia,Maize,2007,36601,2702.0,1597.0,27.21
236,Indonesia,Maize,2007,36601,2702.0,1597.0,27.14
237,Indonesia,Maize,2007,36601,2702.0,1597.0,27.29
238,Indonesia,Maize,2007,36601,2702.0,1597.0,26.88
239,Indonesia,Maize,2007,36601,2702.0,1597.0,27.49
240,Indonesia,Maize,2008,40776,2702.0,1597.0,25.32
241,Indonesia,Maize,2008,40776,2702.0,1597.0,26.97
242,Indonesia,Maize,2008,40776,2702.0,1597.0,27.03
243,Indonesia,Maize,2008,40776,2702.0,1597.0,27.18
244,Indonesia,Maize,2008,40776,2702.0,1597.0,26.65
245,Indonesia,Maize,2008,40776,2702.0,1597.0,27.34
246,Indonesia,Maize,2009,42372,2702.0,1597.0,25.54
247,Indonesia,Maize,2009,42372,2702.0,1597.0,27.31
248,Indonesia,Maize,2009,42372,2702.0,1597.0,27.3
249,Indonesia,Maize,2009,42372,2702.0,1597.0,27.63
250,Indonesia,Maize,2009,42372,2702.0,1597.0,26.98
251,Indonesia,Maize,2009,42372,2702.0,1597.0,27.69
252,Indonesia,Maize,2010,44359,2702.0,1597.0,25.57
253,Indonesia,Maize,2010,44359,2702.0,1597.0,27.25
254,Indonesia,Maize,2010,44359,2702.0,1597.0,27.69
255,Indonesia,Maize,2010,44359,2702.0,1597.0,27.46
256,Indonesia,Maize,2010,44359,2702.0,1597.0,26.94
257,Indonesia,Maize,2010,44359,2702.0,1597.0,27.55
258,Indonesia,Maize,2011,45652,2702.0,1597.0,25.38
259,Indonesia,Maize,2011,45652,2702.0,1597.0,27.24
260,Indonesia,Maize,2011,45652,2702.0,1597.0,27.19
261,Indonesia,Maize,2011,45652,2702.0,1597.0,27.39
262,Indonesia,Maize,2011,45652,2702.0,1597.0,26.63
263,Indonesia,Maize,2011,45652,2702.0,1597.0,27.19
264,Indonesia,Maize,2012,48987,2702.0,1597.0,25.59
265,Indonesia,Maize,2012,48987,2702.0,1597.0,27.36
266,Indonesia,Maize,2012,48987,2702.0,1597.0,27.37
267,Indonesia,Maize,2012,48987,2702.0,1597.0,27.49
268,Indonesia,Maize,2012,48987,2702.0,1597.0,26.87
269,Indonesia,Maize,2012,48987,2702.0,1597.0,27.48
270,Indonesia,Maize,2013,48441,2702.0,1597.0,25.48
271,Indonesia,Maize,2013,48441,2702.0,1597.0,27.37
272,Indonesia,Maize,2013,48441,2702.0,1597.0,27.88
273,Indonesia,Maize,2013,48441,2702.0,1597.0,27.34
274,Indonesia,Maize,2013,48441,2702.0,1597.0,26.72
275,Indonesia,Maize,2013,48441,2702.0,1597.0,27.3
276,Indonesia,Potatoes,1990,141637,2702.0,2432.0,25.37
277,Indonesia,Potatoes,1990,141637,2702.0,2432.0,27.05
278,Indonesia,Potatoes,1990,141637,2702.0,2432.0,27.11
279,Indonesia,Potatoes,1990,141637,2702.0,2432.0,27.18
280,Indonesia,Potatoes,1990,141637,2702.0,2432.0,26.79
281,Indonesia,Potatoes,1990,141637,2702.0,2432.0,27.47
282,Indonesia,Potatoes,1991,132721,2702.0,3259.0,25.27
283,Indonesia,Potatoes,1991,132721,2702.0,3259.0,27.04
284,Indonesia,Potatoes,1991,132721,2702.0,3259.0,26.92
285,Indonesia,Potatoes,1991,132721,2702.0,3259.0,27.05
286,Indonesia,Potatoes,1991,132721,2702.0,3259.0,26.61
287,Indonesia,Potatoes,1991,132721,2702.0,3259.0,27.21
288,Indonesia,Potatoes,1992,143819,2702.0,825.0,25.17
289,Indonesia,Potatoes,1992,143819,2702.0,825.0,26.96
290,Indonesia,Potatoes,1992,143819,2702.0,825.0,27.01
291,Indonesia,Potatoes,1992,143819,2702.0,825.0,27.2
292,Indonesia,Potatoes,1992,143819,2702.0,825.0,26.72
293,Indonesia,Potatoes,1992,143819,2702.0,825.0,27.4
294,Indonesia,Potatoes,1993,158338,2702.0,1597.0,25.46
295,Indonesia,Potatoes,1993,158338,2702.0,1597.0,27.04
296,Indonesia,Potatoes,1993,158338,2702.0,1597.0,26.9
297,Indonesia,Potatoes,1993,158338,2702.0,1597.0,27.21
298,Indonesia,Potatoes,1993,158338,2702.0,1597.0,26.88
299,Indonesia,Potatoes,1993,158338,2702.0,1597.0,27.51
300,Indonesia,Potatoes,1994,156474,2702.0,1597.0,25.21
301,Indonesia,Potatoes,1994,156474,2702.0,1597.0,27.12
302,Indonesia,Potatoes,1994,156474,2702.0,1597.0,26.97
303,Indonesia,Potatoes,1994,156474,2702.0,1597.0,27.34
304,Indonesia,Potatoes,1994,156474,2702.0,1597.0,26.56
305,Indonesia,Potatoes,1994,156474,2702.0,1597.0,27.18
306,Indonesia,Potatoes,1995,165939,2702.0,1597.0,25.46
307,Indonesia,Potatoes,1995,165939,2702.0,1597.0,27.15
308,Indonesia,Potatoes,1995,165939,2702.0,1597.0,27.08
309,Indonesia,Potatoes,1995,165939,2702.0,1597.0,27.28
310,Indonesia,Potatoes,1995,165939,2702.0,1597.0,26.74
311,Indonesia,Potatoes,1995,165939,2702.0,1597.0,27.32
312,Indonesia,Potatoes,1996,158631,2702.0,1597.0,25.41
313,Indonesia,Potatoes,1996,158631,2702.0,1597.0,27.07
314,Indonesia,Potatoes,1996,158631,2702.0,1597.0,27.0
315,Indonesia,Potatoes,1996,158631,2702.0,1597.0,27.2
316,Indonesia,Potatoes,1996,158631,2702.0,1597.0,26.83
317,Indonesia,Potatoes,1996,158631,2702.0,1597.0,27.53
318,Indonesia,Potatoes,1997,162061,2702.0,1597.0,25.52
319,Indonesia,Potatoes,1997,162061,2702.0,1597.0,27.37
320,Indonesia,Potatoes,1997,162061,2702.0,1597.0,27.26
321,Indonesia,Potatoes,1997,162061,2702.0,1597.0,27.62
322,Indonesia,Potatoes,1997,162061,2702.0,1597.0,26.83
323,Indonesia,Potatoes,1997,162061,2702.0,1597.0,27.46
324,Indonesia,Potatoes,1998,153432,2702.0,1597.0,25.81
325,Indonesia,Potatoes,1998,153432,2702.0,1597.0,27.58
326,Indonesia,Potatoes,1998,153432,2702.0,1597.0,27.72
327,Indonesia,Potatoes,1998,153432,2702.0,1597.0,27.77
328,Indonesia,Potatoes,1998,153432,2702.0,1597.0,27.28
329,Indonesia,Potatoes,1998,153432,2702.0,1597.0,27.9
330,Indonesia,Potatoes,1999,147199,2702.0,1597.0,25.26
331,Indonesia,Potatoes,1999,147199,2702.0,1597.0,27.01
332,Indonesia,Potatoes,1999,147199,2702.0,1597.0,26.82
333,Indonesia,Potatoes,1999,147199,2702.0,1597.0,27.17
334,Indonesia,Potatoes,1999,147199,2702.0,1597.0,26.62
335,Indonesia,Potatoes,1999,147199,2702.0,1597.0,27.32
336,Indonesia,Potatoes,2000,133759,2702.0,1597.0,25.46
337,Indonesia,Potatoes,2000,133759,2702.0,1597.0,27.2
338,Indonesia,Potatoes,2000,133759,2702.0,1597.0,27.1
339,Indonesia,Potatoes,2000,133759,2702.0,1597.0,27.23
340,Indonesia,Potatoes,2000,133759,2702.0,1597.0,26.77
341,Indonesia,Potatoes,2000,133759,2702.0,1597.0,27.44
342,Indonesia,Potatoes,2001,148495,2702.0,1597.0,25.43
343,Indonesia,Potatoes,2001,148495,2702.0,1597.0,27.13
344,Indonesia,Potatoes,2001,148495,2702.0,1597.0,27.26
345,Indonesia,Potatoes,2001,148495,2702.0,1597.0,27.32
346,Indonesia,Potatoes,2001,148495,2702.0,1597.0,26.81
347,Indonesia,Potatoes,2001,148495,2702.0,1597.0,27.52
348,Indonesia,Potatoes,2002,155903,2702.0,1597.0,25.64
349,Indonesia,Potatoes,2002,155903,2702.0,1597.0,27.4
350,Indonesia,Potatoes,2002,155903,2702.0,1597.0,27.5
351,Indonesia,Potatoes,2002,155903,2702.0,1597.0,27.49
352,Indonesia,Potatoes,2002,155903,2702.0,1597.0,27.01
353,Indonesia,Potatoes,2002,155903,2702.0,1597.0,27.71
354,Indonesia,Potatoes,2004,163870,2702.0,1597.0,25.67
355,Indonesia,Potatoes,2004,163870,2702.0,1597.0,27.42
356,Indonesia,Potatoes,2004,163870,2702.0,1597.0,27.32
357,Indonesia,Potatoes,2004,163870,2702.0,1597.0,27.57
358,Indonesia,Potatoes,2004,163870,2702.0,1597.0,26.97
359,Indonesia,Potatoes,2004,163870,2702.0,1597.0,27.69
360,Indonesia,Potatoes,2005,164014,2702.0,1597.0,25.59
361,Indonesia,Potatoes,2005,164014,2702.0,1597.0,27.22
362,Indonesia,Potatoes,2005,164014,2702.0,1597.0,27.48
363,Indonesia,Potatoes,2005,164014,2702.0,1597.0,27.44
364,Indonesia,Potatoes,2005,164014,2702.0,1597.0,27.11
365,Indonesia,Potatoes,2005,164014,2702.0,1597.0,27.77
366,Indonesia,Potatoes,2006,169363,2702.0,1597.0,25.66
367,Indonesia,Potatoes,2006,169363,2702.0,1597.0,27.39
368,Indonesia,Potatoes,2006,169363,2702.0,1597.0,27.21
369,Indonesia,Potatoes,2006,169363,2702.0,1597.0,27.55
370,Indonesia,Potatoes,2006,169363,2702.0,1597.0,26.98
371,Indonesia,Potatoes,2006,169363,2702.0,1597.0,27.55
372,Indonesia,Potatoes,2007,160919,2702.0,1597.0,25.5
373,Indonesia,Potatoes,2007,160919,2702.0,1597.0,27.21
374,Indonesia,Potatoes,2007,160919,2702.0,1597.0,27.14
375,Indonesia,Potatoes,2007,160919,2702.0,1597.0,27.29
376,Indonesia,Potatoes,2007,160919,2702.0,1597.0,26.88
377,Indonesia,Potatoes,2007,160919,2702.0,1597.0,27.49
378,Indonesia,Potatoes,2008,166719,2702.0,1597.0,25.32
379,Indonesia,Potatoes,2008,166719,2702.0,1597.0,26.97
380,Indonesia,Potatoes,2008,166719,2702.0,1597.0,27.03
381,Indonesia,Potatoes,2008,166719,2702.0,1597.0,27.18
382,Indonesia,Potatoes,2008,166719,2702.0,1597.0,26.65
383,Indonesia,Potatoes,2008,166719,2702.0,1597.0,27.34
384,Indonesia,Potatoes,2009,165123,2702.0,1597.0,25.54
385,Indonesia,Potatoes,2009,165123,2702.0,1597.0,27.31
386,Indonesia,Potatoes,2009,165123,2702.0,1597.0,27.3
387,Indonesia,Potatoes,2009,165123,2702.0,1597.0,27.63
388,Indonesia,Potatoes,2009,165123,2702.0,1597.0,26.98
389,Indonesia,Potatoes,2009,165123,2702.0,1597.0,27.69
390,Indonesia,Potatoes,2010,159445,2702.0,1597.0,25.57
391,Indonesia,Potatoes,2010,159445,2702.0,1597.0,27.25
392,Indonesia,Potatoes,2010,159445,2702.0,1597.0,27.69
393,Indonesia,Potatoes,2010,159445,2702.0,1597.0,27.46
394,Indonesia,Potatoes,2010,159445,2702.0,1597.0,26.94
395,Indonesia,Potatoes,2010,159445,2702.0,1597.0,27.55
396,Indonesia,Potatoes,2011,159562,2702.0,1597.0,25.38
397,Indonesia,Potatoes,2011,159562,2702.0,1597.0,27.24
398,Indonesia,Potatoes,2011,159562,2702.0,1597.0,27.19
399,Indonesia,Potatoes,2011,159562,2702.0,1597.0,27.39
400,Indonesia,Potatoes,2011,159562,2702.0,1597.0,26.63
401,Indonesia,Potatoes,2011,159562,2702.0,1597.0,27.19
402,Indonesia,Potatoes,2012,165820,2702.0,1597.0,25.59
403,Indonesia,Potatoes,2012,165820,2702.0,1597.0,27.36
404,Indonesia,Potatoes,2012,165820,2702.0,1597.0,27.37
405,Indonesia,Potatoes,2012,165820,2702.0,1597.0,27.49
406,Indonesia,Potatoes,2012,165820,2702.0,1597.0,26.87
407,Indonesia,Potatoes,2012,165820,2702.0,1597.0,27.48
408,Indonesia,Potatoes,2013,160184,2702.0,1597.0,25.48
409,Indonesia,Potatoes,2013,160184,2702.0,1597.0,27.37
410,Indonesia,Potatoes,2013,160184,2702.0,1597.0,27.88
411,Indonesia,Potatoes,2013,160184,2702.0,1597.0,27.34
412,Indonesia,Potatoes,2013,160184,2702.0,1597.0,26.72
413,Indonesia,Potatoes,2013,160184,2702.0,1597.0,27.3
414,Indonesia,"Rice, paddy",1990,43018,2702.0,2432.0,25.37
415,Indonesia,"Rice, paddy",1990,43018,2702.0,2432.0,27.05
416,Indonesia,"Rice, paddy",1990,43018,2702.0,2432.0,27.11
417,Indonesia,"Rice, paddy",1990,43018,2702.0,2432.0,27.18
418,Indonesia,"Rice, paddy",1990,43018,2702.0,2432.0,26.79
419,Indonesia,"Rice, paddy",1990,43018,2702.0,2432.0,27.47
